City,Pollutant,Unit
Milan,19.7,ug/m3
Atenas,19.7,ug/m3
Praga,12.7,ug/m3
Barcelona,12.6,ug/m3
Berlín,12.2,ug/m3
Roma,11.7,ug/m3
París,11.2,ug/m3
Bruselas,10.5,ug/m3
Hamburgo,10.0,ug/m3
Amsterdam,9.5,ug/m3
