DISTRICT,AREA,GREEN_AREA,RATIO
CIUTAT VELLA,411.00000000000006,22.39686782942,GREEN_AREA_Q3
EIXAMPLE,746.0,20.451268604608998,GREEN_AREA_Q1
GRÀCIA,419.00000000000006,23.687085738519997,GREEN_AREA_Q4
HORTA - GUINARDÓ,1196.0,44.475658047079,GREEN_AREA_Q1
LES CORTS,602.0,28.730637999274,GREEN_AREA_Q2
NOU BARRIS - SANT ANDREU,1464.0,72.250493611622,GREEN_AREA_Q3
SANT MARTÍ,1039.0,76.352853637053,GREEN_AREA_Q4
SANTS - MONTJUÏC,2268.0,90.776644475098,GREEN_AREA_Q2
SARRIÀ - SANT GERVASI,1991.0,71.190508174284,GREEN_AREA_Q1
