DISTRICT,ID
CIUTAT VELLA,Low
EIXAMPLE,Moderate
GRÀCIA,Low
HORTA - GUINARDÓ,Moderate
LES CORTS,Low
NOU BARRIS - SANT ANDREU,Extremely High
SANT MARTÍ,Extremely High
SANTS - MONTJUÏC,High
SARRIÀ - SANT GERVASI,Low
